Host_Death_Time,Host_Build,Level,Waterflow_Death,Health_Pct,Location,Phantom_Count,Phantom_Build,Phantom_Death,Likely_Beaten
102.0,RAW_CAST,122.0,True,6.0,CENTER,2.0,PROC_MELEE,False,1
187.0,PROC_MELEE,172.0,False,6.0,CENTER,1.0,,,1
195.0,HYBRID,176.0,False,7.0,OUTER,2.0,PROC_CAST,False,1
286.0,PROC_CAST,124.0,False,7.0,CENTER,1.0,,,1
264.0,PROC_MELEE,175.0,False,6.0,OUTER,2.0,HYBRID,False,1
89.0,HYBRID,123.0,False,7.0,INNER,2.0,PROC_MELEE,True,1
219.0,PROC_CAST,145.0,True,6.0,INNER,2.0,RAW_CAST,False,1
49.0,RAW_CAST,171.0,False,8.0,OUTER,2.0,HYBRID,True,1
111.0,RAW_MELEE,124.0,False,6.0,INNER,2.0,RAW_MELEE,False,1
57.0,RAW_MELEE,176.0,False,7.0,INNER,2.0,RAW_MELEE,True,1
190.0,RAW_MELEE,175.0,True,7.0,INNER,2.0,RAW_MELEE,False,1
154.0,PROC_MELEE,153.0,True,6.0,INNER,1.0,,,1
242.0,RAW_CAST,120.0,True,8.0,INNER,1.0,,,1
72.0,HYBRID,137.0,False,6.0,OUTER,2.0,PROC_MELEE,True,1
211.0,PROC_CAST,169.0,True,7.0,CENTER,1.0,,,1
250.0,HYBRID,120.0,False,8.0,CENTER,2.0,PROC_MELEE,True,1
75.0,RAW_MELEE,126.0,True,6.0,CENTER,2.0,PROC_MELEE,False,1
220.0,PROC_MELEE,170.0,False,7.0,INNER,1.0,,,1
202.0,HYBRID,171.0,False,7.0,OUTER,2.0,RAW_MELEE,True,1
76.0,PROC_MELEE,156.0,True,6.0,CENTER,1.0,,,1
144.0,RAW_MELEE,155.0,False,8.0,OUTER,2.0,PROC_CAST,False,1
67.0,PROC_MELEE,162.0,False,8.0,CENTER,1.0,,,1
221.0,RAW_MELEE,141.0,False,6.0,CENTER,2.0,RAW_CAST,False,1
133.0,RAW_CAST,122.0,False,8.0,OUTER,1.0,,,1
221.0,RAW_MELEE,147.0,False,6.0,INNER,2.0,HYBRID,False,1
237.0,RAW_MELEE,141.0,True,7.0,CENTER,1.0,,,1
107.0,RAW_CAST,128.0,False,6.0,CENTER,2.0,RAW_MELEE,False,1
254.0,PROC_CAST,152.0,False,6.0,OUTER,1.0,,,1
233.0,HYBRID,163.0,False,6.0,INNER,1.0,,,1
198.0,HYBRID,167.0,False,6.0,OUTER,2.0,RAW_CAST,False,1
237.0,HYBRID,147.0,True,7.0,OUTER,2.0,RAW_CAST,False,1
180.0,RAW_MELEE,124.0,True,6.0,INNER,2.0,RAW_CAST,True,1
70.0,PROC_MELEE,134.0,False,7.0,INNER,1.0,,,1
115.0,PROC_MELEE,166.0,False,6.0,CENTER,2.0,HYBRID,False,1
187.0,PROC_MELEE,128.0,False,8.0,CENTER,2.0,RAW_MELEE,True,1
78.0,PROC_CAST,133.0,True,6.0,CENTER,1.0,,,1
244.0,RAW_MELEE,138.0,True,7.0,CENTER,1.0,,,1
189.0,PROC_CAST,159.0,False,7.0,OUTER,2.0,PROC_CAST,False,1
229.0,RAW_MELEE,140.0,True,8.0,CENTER,2.0,HYBRID,False,1
242.0,PROC_MELEE,127.0,True,6.0,OUTER,2.0,PROC_MELEE,True,1
263.0,PROC_CAST,179.0,False,7.0,OUTER,2.0,HYBRID,False,1
75.0,PROC_CAST,131.0,False,7.0,INNER,1.0,,,1
260.0,PROC_MELEE,170.0,True,8.0,INNER,2.0,HYBRID,False,1
299.0,HYBRID,139.0,True,8.0,CENTER,1.0,,,1
100.0,HYBRID,141.0,False,7.0,OUTER,2.0,RAW_MELEE,True,1
235.0,RAW_MELEE,158.0,True,8.0,INNER,2.0,RAW_MELEE,False,1
63.0,PROC_MELEE,170.0,False,6.0,CENTER,2.0,RAW_CAST,False,1
203.0,PROC_CAST,161.0,False,8.0,CENTER,2.0,PROC_CAST,True,1
288.0,PROC_MELEE,153.0,False,8.0,INNER,2.0,PROC_MELEE,False,1
246.0,PROC_MELEE,134.0,True,7.0,OUTER,2.0,PROC_CAST,True,1
276.0,HYBRID,161.0,False,8.0,INNER,1.0,,,1
256.0,PROC_MELEE,123.0,True,7.0,CENTER,1.0,,,1
94.0,RAW_MELEE,122.0,False,7.0,OUTER,2.0,HYBRID,False,1
153.0,PROC_CAST,134.0,False,8.0,OUTER,2.0,PROC_CAST,True,1
197.0,RAW_CAST,158.0,True,6.0,INNER,2.0,PROC_CAST,False,1
198.0,RAW_MELEE,149.0,False,7.0,OUTER,1.0,,,1
183.0,PROC_CAST,174.0,False,6.0,CENTER,2.0,RAW_MELEE,False,1
244.0,PROC_MELEE,164.0,False,8.0,OUTER,1.0,,,1
,,124.0,,,,2.0,,,0
,,169.0,,,,2.0,,,0
,,179.0,,,,1.0,,,0
,,141.0,,,,2.0,,,0
,,126.0,,,,2.0,,,0
,,134.0,,,,1.0,,,0
,,157.0,,,,2.0,,,0
,,172.0,,,,2.0,,,0
,,133.0,,,,2.0,,,0
,,177.0,,,,1.0,,,0
,,137.0,,,,2.0,,,0
,,139.0,,,,2.0,,,0
,,180.0,,,,1.0,,,0
,,173.0,,,,2.0,,,0
,,152.0,,,,2.0,,,0
,,140.0,,,,1.0,,,0
,,142.0,,,,2.0,,,0
,,132.0,,,,1.0,,,0
,,156.0,,,,1.0,,,0
,,139.0,,,,2.0,,,0
,,120.0,,,,1.0,,,0
,,141.0,,,,2.0,,,0
,,120.0,,,,2.0,,,0
,,167.0,,,,2.0,,,0
,,158.0,,,,2.0,,,1
,,123.0,,,,2.0,,,0
,,153.0,,,,2.0,,,0
,,126.0,,,,2.0,,,1
,,137.0,,,,1.0,,,0
,,131.0,,,,2.0,,,0
,,168.0,,,,2.0,,,0
,,122.0,,,,2.0,,,0
,,167.0,,,,2.0,,,0
,,174.0,,,,2.0,,,0
,,128.0,,,,2.0,,,0
,,132.0,,,,2.0,,,0
,,138.0,,,,2.0,,,0
,,131.0,,,,1.0,,,0
,,133.0,,,,1.0,,,0
,,151.0,,,,2.0,,,0
,,176.0,,,,2.0,,,0
,,169.0,,,,1.0,,,0
,,124.0,,,,1.0,,,0
,,140.0,,,,2.0,,,0
,,122.0,,,,2.0,,,0
,,137.0,,,,2.0,,,0
,,123.0,,,,1.0,,,0
,,174.0,,,,1.0,,,0
,,143.0,,,,1.0,,,0
,,179.0,,,,2.0,,,0
,,152.0,,,,1.0,,,0
,,121.0,,,,1.0,,,0
,,131.0,,,,1.0,,,0
,,129.0,,,,2.0,,,0
,,122.0,,,,2.0,,,0
,,176.0,,,,1.0,,,0
,,153.0,,,,2.0,,,0
,,173.0,,,,2.0,,,0
,,146.0,,,,2.0,,,0
,,170.0,,,,1.0,,,0
,,121.0,,,,1.0,,,0
,,174.0,,,,1.0,,,0
,,145.0,,,,2.0,,,0
,,123.0,,,,2.0,,,0
,,164.0,,,,1.0,,,0
,,120.0,,,,2.0,,,0
,,131.0,,,,1.0,,,0
,,135.0,,,,2.0,,,0
,,121.0,,,,2.0,,,0
,,148.0,,,,2.0,,,0
,,171.0,,,,2.0,,,0
,,166.0,,,,2.0,,,0
,,169.0,,,,2.0,,,0
,,139.0,,,,1.0,,,0
,,143.0,,,,2.0,,,0
,,169.0,,,,2.0,,,0
,,124.0,,,,2.0,,,0
,,154.0,,,,2.0,,,0
,,176.0,,,,1.0,,,0
,,141.0,,,,2.0,,,0
,,142.0,,,,1.0,,,0
,,176.0,,,,2.0,,,0
,,132.0,,,,2.0,,,0
,,161.0,,,,1.0,,,0
,,165.0,,,,1.0,,,0
,,149.0,,,,1.0,,,0
,,139.0,,,,2.0,,,0
,,129.0,,,,2.0,,,0
,,149.0,,,,2.0,,,0
,,138.0,,,,1.0,,,0
,,133.0,,,,2.0,,,0
,,162.0,,,,2.0,,,0
,,130.0,,,,2.0,,,0
,,127.0,,,,2.0,,,0
,,135.0,,,,1.0,,,0
,,125.0,,,,2.0,,,0
,,158.0,,,,1.0,,,0
,,162.0,,,,2.0,,,0
,,122.0,,,,2.0,,,0
,,168.0,,,,2.0,,,0
,,173.0,,,,1.0,,,0
,,172.0,,,,2.0,,,0
,,157.0,,,,1.0,,,0
,,180.0,,,,1.0,,,0
,,131.0,,,,1.0,,,0
,,137.0,,,,1.0,,,0
,,121.0,,,,1.0,,,0
,,174.0,,,,2.0,,,0
,,142.0,,,,1.0,,,0
,,151.0,,,,2.0,,,0
,,156.0,,,,2.0,,,0
,,124.0,,,,1.0,,,0
,,146.0,,,,2.0,,,0
,,152.0,,,,2.0,,,0
,,143.0,,,,1.0,,,0
,,138.0,,,,2.0,,,0
,,159.0,,,,2.0,,,0
,,170.0,,,,2.0,,,0
,,147.0,,,,1.0,,,0
,,125.0,,,,2.0,,,0
,,172.0,,,,2.0,,,0
,,120.0,,,,2.0,,,0
,,169.0,,,,1.0,,,0
,,146.0,,,,2.0,,,0
,,149.0,,,,1.0,,,0
,,171.0,,,,2.0,,,1
,,141.0,,,,2.0,,,0
,,154.0,,,,2.0,,,0
,,168.0,,,,1.0,,,0
,,130.0,,,,2.0,,,0
,,146.0,,,,2.0,,,0
,,127.0,,,,2.0,,,0
,,150.0,,,,2.0,,,0
,,139.0,,,,2.0,,,0
,,120.0,,,,2.0,,,0
,,172.0,,,,2.0,,,0
,,129.0,,,,2.0,,,0
,,173.0,,,,2.0,,,1
,,139.0,,,,1.0,,,0
,,138.0,,,,2.0,,,0
,,179.0,,,,2.0,,,0
,,157.0,,,,2.0,,,0
,,136.0,,,,2.0,,,0
,,126.0,,,,2.0,,,0
,,160.0,,,,2.0,,,0
,,140.0,,,,2.0,,,0
,,162.0,,,,2.0,,,0
,,174.0,,,,2.0,,,0
,,127.0,,,,1.0,,,0
,,167.0,,,,1.0,,,0
,,177.0,,,,1.0,,,0
,,153.0,,,,2.0,,,0
,,141.0,,,,1.0,,,0
,,125.0,,,,2.0,,,0
,,159.0,,,,2.0,,,0
,,144.0,,,,1.0,,,0
,,164.0,,,,1.0,,,0
,,162.0,,,,1.0,,,0
,,141.0,,,,2.0,,,0
,,130.0,,,,2.0,,,0
,,151.0,,,,1.0,,,0
,,152.0,,,,2.0,,,0
,,178.0,,,,2.0,,,0
,,142.0,,,,2.0,,,0
,,154.0,,,,1.0,,,0
,,166.0,,,,2.0,,,0
,,122.0,,,,2.0,,,0
,,163.0,,,,2.0,,,0
,,155.0,,,,2.0,,,0
,,177.0,,,,1.0,,,0
,,159.0,,,,2.0,,,0
,,156.0,,,,1.0,,,0
,,155.0,,,,2.0,,,0
,,176.0,,,,1.0,,,0
,,147.0,,,,2.0,,,0
,,135.0,,,,1.0,,,0
,,122.0,,,,2.0,,,0
,,157.0,,,,1.0,,,1
,,167.0,,,,2.0,,,0
,,128.0,,,,2.0,,,0
,,155.0,,,,2.0,,,0
,,146.0,,,,2.0,,,0
,,127.0,,,,2.0,,,0
,,127.0,,,,1.0,,,0
,,126.0,,,,2.0,,,0
,,158.0,,,,1.0,,,0
,,159.0,,,,2.0,,,0
,,166.0,,,,2.0,,,0
,,137.0,,,,2.0,,,0
,,137.0,,,,2.0,,,0
,,138.0,,,,1.0,,,0
,,135.0,,,,2.0,,,0
,,126.0,,,,2.0,,,0
,,161.0,,,,1.0,,,0
,,165.0,,,,2.0,,,0
,,152.0,,,,2.0,,,0
,,162.0,,,,1.0,,,0
,,179.0,,,,1.0,,,0
,,136.0,,,,2.0,,,0
,,149.0,,,,2.0,,,0
,,150.0,,,,2.0,,,0
,,148.0,,,,2.0,,,0
,,126.0,,,,2.0,,,0
,,153.0,,,,2.0,,,0
,,165.0,,,,2.0,,,0
,,164.0,,,,2.0,,,0
,,152.0,,,,2.0,,,0
,,169.0,,,,2.0,,,0
,,178.0,,,,1.0,,,0
,,160.0,,,,2.0,,,0
,,160.0,,,,2.0,,,0
,,129.0,,,,1.0,,,0
,,127.0,,,,2.0,,,1
,,174.0,,,,2.0,,,0
,,150.0,,,,2.0,,,0
,,164.0,,,,2.0,,,0
,,148.0,,,,2.0,,,0
,,167.0,,,,2.0,,,0
,,135.0,,,,1.0,,,0
,,129.0,,,,2.0,,,0
,,165.0,,,,2.0,,,0
,,132.0,,,,2.0,,,0
,,153.0,,,,1.0,,,0
,,127.0,,,,2.0,,,0
,,168.0,,,,2.0,,,0
,,174.0,,,,2.0,,,0
,,140.0,,,,1.0,,,0
,,122.0,,,,2.0,,,0
,,156.0,,,,1.0,,,0
,,147.0,,,,2.0,,,0
,,136.0,,,,1.0,,,0
,,174.0,,,,2.0,,,0
,,159.0,,,,2.0,,,0
,,180.0,,,,2.0,,,0
,,161.0,,,,2.0,,,0
,,175.0,,,,2.0,,,0
,,147.0,,,,2.0,,,0
,,147.0,,,,2.0,,,0
,,143.0,,,,2.0,,,0
,,128.0,,,,2.0,,,0
,,159.0,,,,2.0,,,0
,,168.0,,,,2.0,,,0
,,144.0,,,,1.0,,,0
,,171.0,,,,1.0,,,0
,,133.0,,,,1.0,,,1
,,120.0,,,,1.0,,,0
,,130.0,,,,2.0,,,0
,,142.0,,,,1.0,,,0
,,139.0,,,,2.0,,,0
,,143.0,,,,2.0,,,0
,,133.0,,,,2.0,,,0
,,177.0,,,,2.0,,,0
,,170.0,,,,1.0,,,0
,,153.0,,,,2.0,,,0
,,129.0,,,,1.0,,,0
,,175.0,,,,2.0,,,0
,,151.0,,,,2.0,,,0
,,128.0,,,,2.0,,,0
,,165.0,,,,2.0,,,1
,,164.0,,,,1.0,,,0
,,126.0,,,,2.0,,,0
,,173.0,,,,2.0,,,0
,,136.0,,,,2.0,,,1
,,157.0,,,,1.0,,,0
,,134.0,,,,2.0,,,0
,,179.0,,,,2.0,,,0
,,148.0,,,,1.0,,,0
,,154.0,,,,1.0,,,0
,,122.0,,,,2.0,,,0
,,127.0,,,,1.0,,,0
,,136.0,,,,2.0,,,0
,,162.0,,,,2.0,,,0
,,136.0,,,,1.0,,,0
,,136.0,,,,2.0,,,0
,,147.0,,,,2.0,,,0
,,143.0,,,,1.0,,,0
,,132.0,,,,2.0,,,0
,,180.0,,,,1.0,,,0
,,180.0,,,,2.0,,,0
,,122.0,,,,1.0,,,0
,,146.0,,,,1.0,,,0
,,128.0,,,,2.0,,,0
,,134.0,,,,2.0,,,0
,,148.0,,,,1.0,,,0
,,133.0,,,,2.0,,,0
,,164.0,,,,2.0,,,0
,,130.0,,,,1.0,,,0
,,149.0,,,,2.0,,,0
,,147.0,,,,2.0,,,0
,,148.0,,,,2.0,,,0
,,133.0,,,,1.0,,,0
,,169.0,,,,2.0,,,0
,,152.0,,,,2.0,,,0
,,132.0,,,,2.0,,,0
,,139.0,,,,2.0,,,0
,,171.0,,,,2.0,,,0
,,130.0,,,,2.0,,,0
,,131.0,,,,2.0,,,0
,,149.0,,,,2.0,,,0
,,176.0,,,,2.0,,,0
,,148.0,,,,1.0,,,0
,,128.0,,,,2.0,,,0
,,125.0,,,,2.0,,,0
,,131.0,,,,2.0,,,0
,,142.0,,,,1.0,,,0
,,124.0,,,,2.0,,,0
,,174.0,,,,2.0,,,0
,,180.0,,,,2.0,,,0
,,167.0,,,,2.0,,,0
,,147.0,,,,2.0,,,0
,,122.0,,,,2.0,,,0
,,177.0,,,,1.0,,,0
,,147.0,,,,2.0,,,1
,,131.0,,,,2.0,,,0
,,159.0,,,,1.0,,,0
,,127.0,,,,2.0,,,0
,,154.0,,,,2.0,,,0
,,143.0,,,,2.0,,,0
,,160.0,,,,1.0,,,0
,,173.0,,,,2.0,,,0
,,148.0,,,,2.0,,,0
,,134.0,,,,2.0,,,0
,,152.0,,,,2.0,,,0
,,122.0,,,,2.0,,,0
,,127.0,,,,2.0,,,0
,,140.0,,,,1.0,,,0
,,178.0,,,,2.0,,,0
,,161.0,,,,2.0,,,0
,,176.0,,,,1.0,,,0
,,155.0,,,,2.0,,,0
,,179.0,,,,2.0,,,0
,,145.0,,,,2.0,,,0
,,135.0,,,,1.0,,,0
,,176.0,,,,2.0,,,0
,,172.0,,,,1.0,,,0
,,126.0,,,,1.0,,,0
,,175.0,,,,1.0,,,1
,,121.0,,,,2.0,,,0
,,138.0,,,,2.0,,,0
,,158.0,,,,2.0,,,1
,,173.0,,,,1.0,,,0
,,129.0,,,,2.0,,,0
,,121.0,,,,2.0,,,0
,,143.0,,,,1.0,,,0
,,168.0,,,,2.0,,,0
,,153.0,,,,1.0,,,0
,,146.0,,,,1.0,,,0
,,164.0,,,,1.0,,,0
,,154.0,,,,2.0,,,0
,,177.0,,,,2.0,,,0
,,152.0,,,,1.0,,,0
,,145.0,,,,1.0,,,0
,,138.0,,,,2.0,,,0
,,124.0,,,,2.0,,,0
,,156.0,,,,2.0,,,0
,,177.0,,,,1.0,,,0
,,135.0,,,,2.0,,,0
,,156.0,,,,2.0,,,0
,,156.0,,,,2.0,,,0
,,165.0,,,,2.0,,,0
,,140.0,,,,2.0,,,0
,,125.0,,,,2.0,,,0
,,140.0,,,,1.0,,,0
,,177.0,,,,2.0,,,0
,,129.0,,,,1.0,,,0
,,138.0,,,,2.0,,,0
,,164.0,,,,1.0,,,0
,,120.0,,,,2.0,,,0
,,126.0,,,,2.0,,,0
,,157.0,,,,2.0,,,0
,,145.0,,,,2.0,,,0
,,135.0,,,,2.0,,,0
,,168.0,,,,2.0,,,0
,,142.0,,,,2.0,,,0
,,137.0,,,,2.0,,,0
,,154.0,,,,1.0,,,0
,,165.0,,,,1.0,,,0
,,123.0,,,,2.0,,,0
,,158.0,,,,1.0,,,0
,,122.0,,,,2.0,,,1
,,174.0,,,,2.0,,,0
,,150.0,,,,1.0,,,0
,,170.0,,,,2.0,,,0
,,125.0,,,,2.0,,,0
,,172.0,,,,1.0,,,0
,,170.0,,,,2.0,,,0
,,149.0,,,,1.0,,,0
,,132.0,,,,2.0,,,0
,,179.0,,,,2.0,,,0
,,166.0,,,,2.0,,,0
,,126.0,,,,1.0,,,0
,,177.0,,,,2.0,,,0
,,148.0,,,,1.0,,,0
,,127.0,,,,2.0,,,0
,,160.0,,,,1.0,,,0
,,176.0,,,,2.0,,,0
,,133.0,,,,2.0,,,0
,,129.0,,,,2.0,,,0
,,179.0,,,,2.0,,,0
,,143.0,,,,2.0,,,0
,,121.0,,,,2.0,,,0
,,140.0,,,,1.0,,,0
,,151.0,,,,1.0,,,0
,,173.0,,,,1.0,,,0
,,164.0,,,,1.0,,,0
,,141.0,,,,2.0,,,0
,,150.0,,,,2.0,,,0
,,164.0,,,,1.0,,,0
,,137.0,,,,2.0,,,0
,,150.0,,,,1.0,,,0
,,145.0,,,,1.0,,,0
,,123.0,,,,1.0,,,0
,,141.0,,,,1.0,,,0
,,141.0,,,,2.0,,,0
,,167.0,,,,2.0,,,0
,,145.0,,,,2.0,,,0
,,149.0,,,,2.0,,,0
,,146.0,,,,1.0,,,0
,,179.0,,,,2.0,,,0
,,134.0,,,,2.0,,,0
,,167.0,,,,2.0,,,0
,,154.0,,,,2.0,,,0
,,159.0,,,,1.0,,,0
,,127.0,,,,1.0,,,0
,,136.0,,,,2.0,,,0
,,124.0,,,,1.0,,,0
,,160.0,,,,1.0,,,0
,,177.0,,,,1.0,,,0
,,159.0,,,,1.0,,,0
,,139.0,,,,2.0,,,0
,,135.0,,,,2.0,,,0
,,131.0,,,,1.0,,,0
,,129.0,,,,2.0,,,0
,,147.0,,,,1.0,,,0
,,154.0,,,,1.0,,,1
,,131.0,,,,2.0,,,0
,,125.0,,,,2.0,,,0
,,168.0,,,,2.0,,,0
,,172.0,,,,2.0,,,0
,,120.0,,,,1.0,,,0
,,158.0,,,,1.0,,,0
,,138.0,,,,1.0,,,0
,,172.0,,,,2.0,,,0
,,139.0,,,,1.0,,,0
,,177.0,,,,2.0,,,0
,,155.0,,,,2.0,,,0
,,157.0,,,,2.0,,,0
,,177.0,,,,1.0,,,1
,,126.0,,,,2.0,,,0
,,172.0,,,,1.0,,,0
,,132.0,,,,2.0,,,0
,,120.0,,,,1.0,,,1
,,135.0,,,,2.0,,,0
,,142.0,,,,2.0,,,0
,,146.0,,,,2.0,,,0
,,139.0,,,,1.0,,,0
,,135.0,,,,1.0,,,0
,,153.0,,,,1.0,,,0
,,180.0,,,,2.0,,,0
,,131.0,,,,2.0,,,0
,,134.0,,,,2.0,,,0
,,141.0,,,,2.0,,,0
,,131.0,,,,1.0,,,0
,,124.0,,,,2.0,,,0
,,145.0,,,,2.0,,,0
,,151.0,,,,2.0,,,0
,,166.0,,,,2.0,,,0
,,138.0,,,,2.0,,,0
,,159.0,,,,2.0,,,0
,,143.0,,,,1.0,,,0
,,166.0,,,,2.0,,,0
,,145.0,,,,2.0,,,0
,,163.0,,,,2.0,,,0
,,122.0,,,,2.0,,,0
,,124.0,,,,2.0,,,0
,,149.0,,,,2.0,,,0
,,149.0,,,,2.0,,,0
,,158.0,,,,2.0,,,0
,,123.0,,,,2.0,,,0
,,174.0,,,,2.0,,,0
,,180.0,,,,2.0,,,0
,,166.0,,,,2.0,,,0
,,129.0,,,,2.0,,,0
,,150.0,,,,2.0,,,0
,,131.0,,,,1.0,,,0
,,159.0,,,,2.0,,,0
,,149.0,,,,2.0,,,0
,,159.0,,,,2.0,,,0
,,123.0,,,,1.0,,,1
,,130.0,,,,1.0,,,0
,,177.0,,,,1.0,,,1
,,157.0,,,,1.0,,,0
,,146.0,,,,1.0,,,0
,,158.0,,,,2.0,,,0
,,175.0,,,,2.0,,,0
,,157.0,,,,2.0,,,0
,,125.0,,,,2.0,,,0
,,158.0,,,,2.0,,,0
,,166.0,,,,2.0,,,0
,,132.0,,,,1.0,,,0
,,171.0,,,,2.0,,,0
,,133.0,,,,1.0,,,0
,,123.0,,,,2.0,,,0
,,166.0,,,,2.0,,,0
,,163.0,,,,1.0,,,0
,,146.0,,,,1.0,,,0
,,138.0,,,,1.0,,,0
,,147.0,,,,2.0,,,0
,,163.0,,,,2.0,,,0
